Movie name,action,thriller,comedy,Like/Dislike
Reservoir Dogs,false,false,true,false
Boy Meets Girl,false,true,true,true
Uncounted: The New Math of American Elections,true,true,false,false
Josh and S.A.M.,false,true,true,true
Helvetica,true,true,false,false
Alaska,true,true,false,true
The Green Prince,true,true,false,false
"Wolfman, The",true,true,true,false
"Breaking Point, The",false,false,false,true
Hamlet,true,false,true,true
John Rabe,false,false,true,false
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),false,true,false,false
Dead Leaves,false,false,true,true
Since You Went Away,false,false,false,true
Outlaw Blues,false,false,false,true
Pocahontas,false,false,true,true
"Year of Living Vicariously, The",true,false,false,true
Gold Diggers of 1937,true,false,true,true
"Girls, Les",false,false,false,true
Stars in Shorts,true,true,false,true
"Prisoner, The (Island of Fire) (Huo shao dao)",false,true,false,false
Game of Werewolves,true,false,true,false
Separation City,true,true,true,true
"Strange One, The",true,true,false,true
Donovan's Echo,true,true,true,true
200 Motels,true,true,false,false
"Ice Storm, The",false,true,true,true
"Escapist, The",false,true,false,true
To Faro (Mein Freund aus Faro),true,false,true,true
Abbott and Costello Meet the Invisible Man,false,true,true,false
House III: The Horror Show,true,false,true,false
"Great Train Robbery, The (a.k.a. First Great Train Robbery, The)",false,true,false,true
Jersey Boys,false,false,true,false
New York in the 50's,false,false,false,false
Python,false,true,false,true
Ed Wood,false,true,false,false
31 North 62 East,false,true,true,false
"Stars Look Down, The",true,true,true,false
Breakaway (Speedy Singhs),false,true,false,false
"Smile Like Yours, A",true,true,false,true
Phantasm IV: Oblivion,true,false,false,false
Dumplings (Gaau ji),true,true,true,true
Dirty Bomb,true,true,true,true
Countess Dracula,true,false,true,true
Sugarbaby,true,true,true,true
Bend of the River,false,true,false,false
Argo,true,false,false,true
Godzilla vs. Megalon (Gojira tai Megaro),false,false,false,false
"White Sheik, The (Sceicco bianco, Lo)",false,false,false,false
Laggies,true,false,false,true
The Phantom Light,false,false,false,false
Fingers at the Window,false,true,true,false
Precious,true,false,true,false
James and the Giant Peach,true,false,false,true
Liebestraum,false,false,true,true
Puss in Boots (Nagagutsu o haita neko),true,false,true,false
Dynamite,false,true,false,false
Street Smart,true,true,true,false
Fed Up,false,true,false,false
Daltry Calhoun,true,false,false,false
Kairat,true,true,false,true
Pleasures of the Flesh (Etsuraku),false,true,false,true
Pineapple Express,true,false,false,true
"Freshman, The",true,false,false,false
Into the Mind,true,true,true,false
Rabid Dogs (Kidnapped) (Cani arrabbiati),false,true,true,true
How to Make Love to a Woman,true,false,false,false
Noel,false,false,true,true
God on Trial,true,false,false,false
Tom at the Farm (Tom à la ferme),false,true,true,false
Ripley Under Ground,true,true,false,true
Uuno in Spain,true,true,true,false
Dead in Tombstone,true,true,false,true
"Inn of the Sixth Happiness, The",true,false,true,false
"Messenger: The Story of Joan of Arc, The",true,true,true,true
Seven Samurai (Shichinin no samurai),false,true,true,false
Vacancy,false,true,false,false
Deadline,false,true,false,false
For Love or Money,true,true,false,false
Don Quixote (Don Quijote de Orson Welles),true,true,false,false
Schizopolis,true,true,true,false
Time Without Pity,true,true,false,false
The Little Matchgirl,true,true,true,false
"Naked Man, The",false,false,true,false
Shark Skin Man and Peach Hip Girl (Samehada otoko to momojiri onna),true,false,true,false
Red,true,true,false,true
Silence (Chinmoku),false,false,false,false
Camera Obscura,false,false,false,true
Faces of Schlock,true,false,true,false
By the Bluest of Seas (U samogo sinego morya),false,true,false,true
"Rock, The",false,true,false,false
"Pursuit of Happyness, The",false,false,true,true
Ricky Rapper and the Bicycle Thief (Risto Räppääjä ja polkupyörävaras),true,true,true,true
Trade,false,false,false,true
Tillbaka till Bromma,false,true,true,true
"Undead, The",false,true,false,false
Dona Flor and Her Two Husbands (Dona Flor e Seus Dois Maridos),true,false,false,false
Jean de Florette,true,false,false,false
"Thing, The",true,false,true,false
Phantasm III: Lord of the Dead,true,true,false,false
